iter	Passed	Remaining
0	202	201900
1	203	101373
2	204	67914
3	205	51104
4	206	40995
5	206	34281
6	208	29510
7	208	25912
8	209	23095
9	210	20833
10	211	18991
11	212	17459
12	218	16570
13	219	15435
14	220	14494
15	221	13627
16	222	12876
17	223	12196
18	224	11585
19	225	11029
20	225	10534
21	226	10076
22	227	9660
23	230	9386
24	232	9082
25	233	8756
26	234	8456
27	235	8178
28	236	7914
29	237	7667
30	237	7432
31	238	7213
32	239	7011
33	239	6817
34	240	6636
35	241	6468
36	242	6304
37	242	6149
38	249	6139
39	250	6004
40	251	5874
41	252	5752
42	252	5628
43	253	5515
44	254	5404
45	255	5295
46	256	5193
47	256	5096
48	257	5002
49	262	4989
50	263	4903
51	264	4820
52	265	4739
53	266	4663
54	266	4587
55	267	4515
56	268	4445
57	269	4375
58	270	4307
59	270	4241
60	271	4176
61	272	4115
62	272	4055
63	273	3997
64	277	3995
65	278	3941
66	279	3890
67	280	3839
68	280	3788
69	281	3738
70	282	3690
71	282	3643
72	283	3596
73	283	3552
74	284	3508
75	285	3465
76	285	3424
77	286	3385
78	287	3347
79	287	3309
80	288	3271
81	292	3270
82	292	3236
83	293	3202
84	294	3170
85	295	3138
86	295	3106
87	296	3074
88	297	3043
89	297	3012
90	298	2982
91	299	2953
92	299	2925
93	300	2896
94	301	2869
95	301	2841
96	302	2814
97	302	2788
98	303	2763
99	304	2742
100	305	2721
101	306	2697
102	306	2673
103	307	2650
104	308	2627
105	308	2605
106	309	2583
107	310	2562
108	310	2540
109	311	2520
110	312	2499
111	312	2479
112	313	2459
113	313	2439
114	318	2447
115	319	2433
116	320	2416
117	321	2401
118	322	2383
119	322	2366
120	323	2348
121	323	2330
122	324	2312
123	325	2296
124	325	2279
125	326	2263
126	326	2247
127	327	2231
128	328	2216
129	328	2200
130	334	2216
131	335	2203
132	335	2189
133	336	2175
134	337	2161
135	338	2148
136	338	2134
137	339	2120
138	340	2106
139	340	2092
140	341	2079
141	341	2064
142	342	2051
143	342	2038
144	343	2026
